19                                # ntRc (followed by periods)
0.2 0.6 1. 1.4 1.8 2.2 2.6 3. 3.4 3.8 4.2 4.6 5.  5.4 5.8 6.2 6.6 7. 7.4
19                                # ntRg (followed by periods)
0.2 0.6 1.  1.4 1.8 2.2 2.6 3.  3.4 3.8 4.2 4.6 5.  5.4 5.8 6.2 6.6 7  7.4
0                                 # ntLc (followed by periods)
0                                 # ntLg
103.040800 30.074800 3.041200
103.134600 28.327400 3.080100
101.011700 30.034400 3.198900
# 105.559700 32.205400 6 1 2 0
102.964700 33.581500 3.080100
103.603100 32.649700 3.124500
101.011700 30.034400 3.046300
109.037200 32.669800 3.144900
107.716100 32.910100 3.160400
108.324200 34.055300 3.140500
# 103.927600 29.793900 3 1 2 0
101.742500 26.503300 3.090800
101.677600 27.466900 3.033800
103.716900 27.321900 3.061300
# 103.570300 28.272200 4 1 2 0
103.040800 30.074800 3.059700
102.223900 31.903900 3.075900
102.173900 28.332600 3.080300
102.349500 29.226000 3.149200
# 100.861500 27.714300 13 1 2 0
103.533600 28.840500 3.076100
103.040800 30.074800 3.063700
102.223900 31.903900 3.118300
101.742500 26.503300 3.139100
100.979900 32.268700 3.078800
102.349500 29.226000 3.121500
102.750300 26.854800 3.047500
102.449100 27.861500 2.994400
101.011700 30.034400 3.073900
107.817000 34.128300 2.912600
108.924000 34.030000 2.976600
108.324200 34.055300 2.920800
103.716900 27.321900 3.047300
# 105.413600 28.872400 7 1 2 0
102.542400 27.383900 3.002000
101.742500 26.503300 3.042200
102.449100 27.861500 2.917300
109.375600 34.112800 2.950900
106.139500 33.356800 2.847500
108.323400 33.325300 2.877700
103.716900 27.321900 2.975600
# 103.533600 28.840500 4 1 2 0
102.223900 31.903900 3.051400
103.603100 32.649700 2.960300
102.259600 27.848600 3.005800
101.677600 27.466900 3.017500
# 103.040800 30.074800 7 1 2 0
102.223900 31.903900 3.045800
103.134600 28.327400 3.053500
101.742500 26.503300 3.094000
102.964700 33.581500 3.037500
100.979900 32.268700 3.071000
101.677600 27.466900 3.087600
108.924000 34.030000 3.000100
# 102.223900 31.903900 6 1 2 0
103.852100 31.680900 3.156400
104.548200 32.415700 3.119700
102.964700 33.581500 3.053000
103.789500 29.052600 2.990800
101.011700 30.034400 3.143800
106.139500 33.356800 3.163900
# 103.134600 28.327400 5 1 2 0
103.852100 31.680900 2.995700
103.789500 29.052600 3.102900
101.677600 27.466900 3.019200
106.139500 33.356800 2.884200
106.800200 33.229300 2.882100
# 101.271900 27.932400 2 1 2 0
102.750300 26.854800 3.095700
105.901600 31.018300 3.065700
# 102.173900 28.332600 3 1 2 0
102.750300 26.854800 3.035200
